rank,label,exact_rows,exact_safe_amounts,numeric_mismatches,absolute_safe_error,status_exact,method_exact,plan_exact,earliest_exact,optimistic,pessimistic
1,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=4;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,5203249.78,21,24,22,18,19,2
2,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,6930596.72,21,24,22,18,19,2
3,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(26, 33);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,6930596.72,21,24,22,18,19,2
4,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,8068470.20,21,24,22,18,20,1
5,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(26, 33);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,8068470.20,21,24,22,18,20,1
6,"chronology=A1;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=4;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,5203249.78,21,24,22,17,19,2
7,"chronology=A2;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=4;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,5203249.78,21,24,22,17,19,2
8,"chronology=A1;debit_amount=max;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,6930596.72,21,24,22,17,19,2
9,"chronology=A1;debit_amount=max;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(26, 33);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,6930596.72,21,24,22,17,19,2
10,"chronology=A2;debit_amount=max;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,6930596.72,21,24,22,17,19,2
11,"chronology=A2;debit_amount=max;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(26, 33);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,6930596.72,21,24,22,17,19,2
12,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=2;fixed_tolerance=2;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,6956745.66,21,24,22,17,20,1
13,"chronology=A1;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,8068470.20,21,24,22,17,20,1
14,"chronology=A1;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(26, 33);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,8068470.20,21,24,22,17,20,1
15,"chronology=A2;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,8068470.20,21,24,22,17,20,1
16,"chronology=A2;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(26, 33);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,8068470.20,21,24,22,17,20,1
17,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=2;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,8089514.76,21,24,22,17,20,1
18,"chronology=A1;debit_amount=max;credit_amount=median;consistent_intervals=2;fixed_tolerance=2;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,6956745.66,21,24,22,16,20,1
19,"chronology=A2;debit_amount=max;credit_amount=median;consistent_intervals=2;fixed_tolerance=2;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,6956745.66,21,24,22,16,20,1
20,"chronology=A1;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=2;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,8089514.76,21,24,22,16,20,1
21,"chronology=A2;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=2;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,8089514.76,21,24,22,16,20,1
22,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(26, 33);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,8537512.21,21,24,19,14,21,0
23,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,8543162.64,21,24,19,14,21,0
24,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(26, 33);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,9998200.24,21,24,19,14,21,0
25,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,10003280.80,21,24,19,14,21,0
26,"chronology=A1;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(26, 33);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,8537512.21,21,24,19,13,21,0
27,"chronology=A2;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(26, 33);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,8537512.21,21,24,19,13,21,0
28,"chronology=A1;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,8543162.64,21,24,19,13,21,0
29,"chronology=A2;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,8543162.64,21,24,19,13,21,0
30,"chronology=A1;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(26, 33);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,9998200.24,21,24,19,13,21,0
31,"chronology=A2;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(26, 33);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,9998200.24,21,24,19,13,21,0
32,"chronology=A1;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,10003280.80,21,24,19,13,21,0
33,"chronology=A2;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,10003280.80,21,24,19,13,21,0
34,"chronology=A0;debit_amount=latest;credit_amount=latest;consistent_intervals=2;fixed_tolerance=4;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,4551276.17,20,23,21,17,18,3
35,"chronology=A0;debit_amount=median;credit_amount=latest;consistent_intervals=2;fixed_tolerance=4;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,5203487.93,20,23,21,17,18,3
36,"chronology=A0;debit_amount=max;credit_amount=latest;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,6930668.38,20,23,21,17,18,3
