request_id,user_id,expected_amount_safe,predicted_amount_safe,delta,expected_status,predicted_status,expected_method,predicted_method,request_date,desired_completion_date,home_currency,starting_balance,minimum_balance,predicted_trough_without_request,predicted_trough_date,implied_expected_trough,difference_in_trough,direction,first_divergence_date
request_02,user_02,17229139.2,18479330.16,1250190.96,affordable_with_plan,affordable_with_plan,installments,installments,2025-08-05,2025-10-10,IDR,60383889.2,29158400,47637730.16,2025-08-13,46387539.2,1250190.96,missing_debit_or_extra_credit_or_delayed_debit,
request_03,user_03,873000,1050071.39,177071.39,affordable_later,affordable_later,wait,wait,2019-09-03,2019-11-15,IDR,5810300,2668700,3718771.39,2019-09-14,3541700,177071.39,missing_debit_or_extra_credit_or_delayed_debit,
request_04,user_04,8401800,11584778.17,3182978.17,affordable_later,affordable_later,wait,wait,2024-06-04,2024-06-19,IDR,52206950,30686600,42271378.17,2024-06-13,39088400,3182978.17,missing_debit_or_extra_credit_or_delayed_debit,
request_05,user_05,737,7006.21,6269.21,not_affordable,not_affordable,not_recommended,not_recommended,2025-11-06,2026-01-12,ZAR,46475.1,13100,20106.21,2026-02-02,13837,6269.21,missing_debit_or_extra_credit_or_delayed_debit,
request_06,user_06,603.3,620.4,17.1,affordable_with_plan,affordable_now,full_payment,full_payment,2026-01-03,2026-01-14,EUR,1942.4,800,1430.32,2026-01-13,1403.3,27.02,missing_debit_or_extra_credit_or_delayed_debit,
request_07,user_07,87170.56,98080.53,10909.97,affordable_with_plan,affordable_with_plan,installments,installments,2024-09-05,2024-11-14,INR,218945.56,93000,191080.53,2024-09-20,180170.56,10909.97,missing_debit_or_extra_credit_or_delayed_debit,
request_08,user_08,284.57,383.59,99.02,affordable_later,affordable_later,wait,wait,2025-02-07,2025-04-15,EUR,1536.57,800,1183.59,2025-02-12,1084.57,99.02,missing_debit_or_extra_credit_or_delayed_debit,
request_10,user_10,12700,266700,254000,not_affordable,not_affordable,not_recommended,not_recommended,2024-12-06,2025-02-10,INR,750155,225400,725801.48,2024-12-07,238100,487701.48,missing_debit_or_extra_credit_or_delayed_debit,
request_11,user_11,12510645,13110000,599355,affordable_with_plan,affordable_now,full_payment,full_payment,2025-05-03,2025-06-12,IDR,63531795,34140600,48809337.19,2025-05-14,46651245,2158092.19,missing_debit_or_extra_credit_or_delayed_debit,
request_13,user_13,433.4,941.6,508.2,affordable_later,affordable_now,wait,full_payment,2024-03-07,2024-05-15,EUR,2789.52,1300,2538.37,2024-03-14,1733.4,804.97,missing_debit_or_extra_credit_or_delayed_debit,
request_14,user_14,597.74,613.64,15.90,not_affordable,not_affordable,not_recommended,not_recommended,2025-08-04,2025-10-04,EUR,3931.74,2200,2813.64,2025-08-14,2797.74,15.90,missing_debit_or_extra_credit_or_delayed_debit,
request_15,user_15,83.05,225.66,142.61,not_affordable,not_affordable,not_recommended,not_recommended,2026-01-06,2026-02-01,EUR,1770.05,1200,1425.66,2026-01-13,1283.05,142.61,missing_debit_or_extra_credit_or_delayed_debit,
request_17,user_17,243849.58,248325.96,4476.38,affordable_with_plan,affordable_with_plan,installments,installments,2026-03-01,2026-05-04,INR,550379.58,166100,414425.96,2026-03-13,409949.58,4476.38,missing_debit_or_extra_credit_or_delayed_debit,
request_18,user_18,462,662.19,200.19,affordable_later,affordable_later,wait,wait,2026-07-07,2026-09-15,EUR,2486,1400,2062.19,2026-07-11,1862,200.19,missing_debit_or_extra_credit_or_delayed_debit,
request_19,user_19,28820,37555.87,8735.87,affordable_with_plan,affordable_with_plan,partial_payment,partial_payment,2024-09-04,2024-10-04,INR,199545,92800,130355.87,2024-09-14,121620,8735.87,missing_debit_or_extra_credit_or_delayed_debit,
request_20,user_20,5400,14941.75,9541.75,not_affordable,not_affordable,not_recommended,not_recommended,2026-02-07,2026-02-22,INR,102609.05,64500,79441.75,2026-02-13,69900,9541.75,missing_debit_or_extra_credit_or_delayed_debit,
request_21,user_21,1543.35,1574.4,31.05,affordable_with_plan,affordable_now,full_payment,full_payment,2026-04-03,2026-04-14,USD,3911.35,1800,3445.70,2026-04-12,3343.35,102.35,missing_debit_or_extra_credit_or_delayed_debit,
request_22,user_22,475.46,514.86,39.40,affordable_with_plan,affordable_with_plan,installments,installments,2024-12-05,2025-02-10,EUR,1132.46,500,1014.86,2024-12-14,975.46,39.40,missing_debit_or_extra_credit_or_delayed_debit,
request_23,user_23,9152,9303.91,151.91,affordable_later,affordable_later,wait,wait,2025-05-07,2025-07-15,ZAR,51957.9,27000,36303.91,2025-05-14,36152,151.91,missing_debit_or_extra_credit_or_delayed_debit,
request_24,user_24,13420,12557.36,-862.64,not_affordable,not_affordable,not_recommended,not_recommended,2026-01-04,2026-02-08,INR,85045,51000,63557.36,2026-01-13,64420,-862.64,extra_debit_or_missing_credit_or_early_debit,2026-01-13
request_25,user_25,1425000,0,-1425000,not_affordable,not_affordable,not_recommended,not_recommended,2024-03-06,2024-04-17,IDR,32063050,23379100,22772958.09,2024-03-14,24804100,-2031141.91,extra_debit_or_missing_credit_or_early_debit,2024-03-09
